"endTime,artistName,trackName,msPlayed"
"2022-06-08 09:12,The Ringer NBA Show,""NBA Finals Fact or Fiction, Plus Coaching Hot Stove | Group Chat"",2927"
"2022-06-08 09:13,The Ringer NBA Show,""NBA Finals Fact or Fiction, Plus Coaching Hot Stove | Group Chat"",14917"
"2022-06-08 09:29,The Ringer NBA Show,""NBA Finals Fact or Fiction, Plus Coaching Hot Stove | Group Chat"",748435"
"2022-06-08 10:24,Basketball Illuminati,The Snyder Cut,3293825"
"2022-06-08 12:21,Luke Combs,Honky Tonk Highway,2666"
"2022-06-08 12:21,Luke Combs,I Know She Ain't Ready,11487"
"2022-06-08 12:25,Luke Combs,""1, 2 Many"",4497"
"2022-06-08 12:25,Luke Combs,Doin' This,254181"
"2022-06-08 12:26,Luke Combs,Must've Never Met You,6890"
"2022-06-08 12:29,Luke Combs,Must've Never Met You,192005"
"2022-06-08 12:32,Luke Combs,What You See Is What You Get,171920"
"2022-06-08 12:35,Luke Combs,A Long Way,217280"
"2022-06-08 12:38,Luke Combs,Tomorrow Me,129829"
"2022-06-09 12:58,Gettin' Churchy,""Weed Your Brain, Grow Your Testimony - John Bytheway"",502613"
"2022-06-10 04:26,Gettin' Churchy,""Weed Your Brain, Grow Your Testimony - John Bytheway"",3351396"
"2022-06-10 11:10,The Jimmy Rex Show,""#145 - Hank Smith - Best-Selling LDS Author, Speaker, & BYU Professor Shares How He's Been Able To Create Such A Happy & Fulfilling Life"",1406313"
"2022-06-10 18:42,Jack Jezzro,That's Amore,24312"
"2022-06-10 18:45,Justin Bieber,As I Am (feat. Khalid),174406"
"2022-06-10 18:46,Luke Combs,Better Together,1230"
"2022-06-10 18:46,Justin Bieber,Off My Face,71144"
"2022-06-10 18:49,Luke Combs,She Got the Best of Me,177446"
"2022-06-10 18:54,Luke Combs,Forever After All,232533"
"2022-06-10 18:57,Justin Bieber,Ghost,153190"
"2022-06-10 18:57,Justin Bieber,As I Am (feat. Khalid),13867"
"2022-06-10 18:59,Luke Combs,Beer Never Broke My Heart,163491"
"2022-06-10 19:04,Luke Combs,Doin' This,254181"
"2022-06-10 19:05,Luke Combs,Tomorrow Me,60901"
"2022-06-10 19:16,Luke Combs,Hurricane,222533"
"2022-06-10 19:20,Luke Combs,Blue Collar Boys,219920"
"2022-06-10 19:29,Luke Combs,Lovin' On You,194866"
"2022-06-10 19:33,Justin Bieber,Holy (feat. Chance The Rapper),212093"
"2022-06-10 19:37,Luke Combs,Angels Workin' Overtime,227612"
"2022-06-11 04:04,Justin Bieber,Anyone,104165"
"2022-06-11 04:10,Luke Combs,""1, 2 Many"",15521"
"2022-06-11 04:10,Luke Combs,The Other Guy,190720"
"2022-06-11 04:13,Luke Combs,Refrigerator Door,204240"
"2022-06-11 04:14,Brooks & Dunn,Brand New Man - with Luke Combs,54118"
"2022-06-11 05:55,Luke Combs,Moon Over Mexico,93631"
"2022-06-11 06:58,Lemonade Stand Stories,""Hank Smith, Motivational Speaker, Lives life by High Trust"",3755031"
"2022-06-11 08:06,DATAcated On Air,Data Entrepreneurship Journey with Andreas Kretz & Kate Strachnyi,4102989"
"2022-06-11 08:45,The Marketing Secrets Show,Creating Your Lead Funnel (ClickFunnels) - FDLC: Day 3 of 5,2285258"
"2022-06-11 09:22,Dan's Millionaire Code,Dan's Millionaire Code: The Podcast Episode 68 with Dave Allred,2263836"
"2022-06-11 10:02,Dan's Millionaire Code,Dan's Millionaire Code: The Podcast Episode 80 with Jeremiah “The Bull” Evans,2376132"
"2022-06-11 10:22,Dan's Millionaire Code,Dan's Millionaire Code: The Podcast Episode 82 with Eric and Ethan Parker,1185100"
"2022-06-12 02:59,Luke Combs,Angels Workin' Overtime,2112"
"2022-06-12 03:03,Luke Combs,Better Together,219573"
"2022-06-12 22:27,Luke Combs,Memories Are Made Of,183894"
"2022-06-12 22:27,The Bill Simmons Podcast,Steph’s Apex Mountain Leaves Boston Reeling With Rob Mahoney and Wosny Lambre,3242"
"2022-06-12 22:51,The Bill Simmons Podcast,Steph’s Apex Mountain Leaves Boston Reeling With Rob Mahoney and Wosny Lambre,800959"
"2022-06-13 00:08,The Bill Simmons Podcast,Steph’s Apex Mountain Leaves Boston Reeling With Rob Mahoney and Wosny Lambre,1018663"
